"UPC","HSY Item Description","Hsy Seasonal Segmentation","Store Nbr","Store Name","Building City","Building State/Prov","Building Postal Code","Store Type","WM Date","SeasonAndYear","OH Qty","POS Qty","POS Sales","MSO"
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6398,"DELTONA FL","DELTONA","FL",32725,"Neighborhood Market","3/24/2018 12:00:00 AM","EAS2018",0,0,0,2.58176274944568
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6398,"DELTONA FL","DELTONA","FL",32725,"Neighborhood Market","3/27/2018 12:00:00 AM","EAS2018",0,0,0,4.53130973316003
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6398,"DELTONA FL","DELTONA","FL",32725,"Neighborhood Market","3/30/2018 12:00:00 AM","EAS2018",0,0,0,11.1751662971175
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6470,"PLAINFIELD IN","PLAINFIELD","IN",46168,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,11.2767587180004
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6477,"PHOENIX (METROCENTER) AZ","PHOENIX","AZ",85051,"Supercenter","3/27/2018 12:00:00 AM","EAS2018",0,0,0,33.5316920253842
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6500,"INDEPENDENCE (NOLAND RD)","INDEPENDENCE","MO",64055,"Neighborhood Market","3/24/2018 12:00:00 AM","EAS2018",0,0,0,3.27023281596452
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6500,"INDEPENDENCE (NOLAND RD)","INDEPENDENCE","MO",64055,"Neighborhood Market","3/31/2018 12:00:00 AM","EAS2018",0,0,0,18.7919900221729
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6531,"PENSACOLA NINE MILE FL","PENSACOLA","FL",32534,"Neighborhood Market","3/29/2018 12:00:00 AM","EAS2018",0,0,0,10.4567627494457
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6531,"PENSACOLA NINE MILE FL","PENSACOLA","FL",32534,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,11.2767587180004
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6577,"SLIDELL ROBERT BLVD LA","SLIDELL","LA",70458,"Neighborhood Market","3/26/2018 12:00:00 AM","EAS2018",0,3,3,4.54988913525499
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6577,"SLIDELL ROBERT BLVD LA","SLIDELL","LA",70458,"Neighborhood Market","3/29/2018 12:00:00 AM","EAS2018",0,0,0,8.27827050997783
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6577,"SLIDELL ROBERT BLVD LA","SLIDELL","LA",70458,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,8.92743398508365
